Nama Pantai,Provinsi,Rating Angka,Predikat,Link Google Maps,Latitude,Longitude
Pantai Pandawa,Aceh,4.4,sangat bagus,https://www.google.com/maps/place/Pantai+Pandawa/data=!4m7!3m6!1s0x304793ff74eb2fc9:0xb1979686bbb2ca82!8m2!3d5.2246785!4d97.4318208!16s%2Fg%2F11sgqj70cm!19sChIJyS_rdP-TRzARgsqyu4aWl7E?authuser=0&hl=en&rclk=1,5.2246785,97.4318208
Penyu Beach,Aceh,4.3,sangat bagus,https://www.google.com/maps/place/Penyu+Beach/data=!4m7!3m6!1s0x30403d1ff89193b9:0xff7fbd3a966345c2!8m2!3d5.4127632!4d95.2476097!16s%2Fg%2F11c48mzx19!19sChIJuZOR-B89QDARwkVjljq9f_8?authuser=0&hl=en&rclk=1,5.4127632,95.2476097
Jualan kelontong,Aceh,4.0,bagus,https://www.google.com/maps/place/Jualan+kelontong/data=!4m7!3m6!1s0x30479d223e1017f1:0x59ab794438f29a7a!8m2!3d5.2058616!4d97.1294993!16s%2Fm%2F0102ldzv!19sChIJ8RcQPiKdRzARepryOER5q1k?authuser=0&hl=en&rclk=1,5.2058616,97.1294993
Pantai Rigaih,Aceh,4.1,sangat bagus,https://www.google.com/maps/place/Pantai+Rigaih/data=!4m7!3m6!1s0x303fa2d5d795cb55:0x1b1d148b856fe0a5!8m2!3d4.6663735!4d95.5668799!16s%2Fg%2F11fxwb6054!19sChIJVcuV19WiPzARpeBvhYsUHRs?authuser=0&hl=en&rclk=1,4.6663735,95.5668799
kuala idi,Aceh,3.9,bagus,https://www.google.com/maps/place/kuala+idi/data=!4m7!3m6!1s0x303801a555555555:0xd3a420e8f4c89257!8m2!3d4.9590829!4d97.7794375!16s%2Fg%2F11cmrts3f9!19sChIJVVVVVaUBODARV5LI9OggpNM?authuser=0&hl=en&rclk=1,4.9590829,97.7794375
Cliff Beach Lampuuk,Aceh,4.6,sangat bagus,https://www.google.com/maps/place/Cliff+Beach+Lampuuk/data=!4m7!3m6!1s0x30403ad55fbd44a9:0x55781902cf72b99a!8m2!3d5.4970038!4d95.227854!16s%2Fg%2F11fy4jfvk_!19sChIJqUS9X9U6QDARmrlyzwIZeFU?authuser=0&hl=en&rclk=1,5.4970038,95.227854
Pantai Lhok Geudong,Aceh,4.1,sangat bagus,https://www.google.com/maps/place/Pantai+Lhok+Geudong/data=!4m7!3m6!1s0x303ec3de3211b01b:0xa5a46fbf7dfc80bf!8m2!3d4.1293342!4d96.1300432!16s%2Fg%2F11cm0dkx1c!19sChIJG7ARMt7DPjARv4D8fb9vpKU?authuser=0&hl=en&rclk=1,4.1293342,96.1300432
Pantai Leupung,Aceh,4.1,sangat bagus,https://www.google.com/maps/place/Pantai+Leupung/data=!4m7!3m6!1s0x30403cc436c83cad:0xfa00d43518e4e8eb!8m2!3d5.4279119!4d95.2401298!16s%2Fg%2F11g9q46_tg!19sChIJrTzINsQ8QDAR6-jkGDXUAPo?authuser=0&hl=en&rclk=1,5.4279119,95.2401298
Wisata Pantai Buatan Kuala Langsa,Aceh,4.2,sangat bagus,https://www.google.com/maps/place/Wisata+Pantai+Buatan+Kuala+Langsa/data=!4m7!3m6!1s0x3037909d083ebb9f:0xfa945e1a4d22b863!8m2!3d4.5198635!4d98.0164532!16s%2Fg%2F11gc0b87lk!19sChIJn7s-CJ2QNzARY7giTRpelPo?authuser=0&hl=en&rclk=1,4.5198635,98.0164532
Pantai Kampung Kuala,Aceh,3.9,bagus,https://www.google.com/maps/place/Pantai+Kampung+Kuala/data=!4m7!3m6!1s0x3037f93d45993845:0x7a02fdac28d6de21!8m2!3d4.910598!4d97.8402646!16s%2Fg%2F11cnx68q_d!19sChIJRTiZRT35NzARId7WKKz9Ano?authuser=0&hl=en&rclk=1,4.910598,97.8402646
Pantai Kuala Merisi,Aceh,4.2,sangat bagus,https://www.google.com/maps/place/Pantai+Kuala+Merisi/data=!4m7!3m6!1s0x303fa364ebc793af:0xb830684d2cc0c05b!8m2!3d4.6296994!4d95.5917146!16s%2Fg%2F11g8xf_khp!19sChIJr5PH62SjPzARW8DALE1oMLg?authuser=0&hl=en&rclk=1,4.6296994,95.5917146
Ujong Blang,Aceh,4.1,sangat bagus,https://www.google.com/maps/place/Ujong+Blang/data=!4m7!3m6!1s0x30479d17bda8eb8d:0xf433e7003c065076!8m2!3d5.2090356!4d97.1236917!16s%2Fg%2F11c605pgb4!19sChIJjeuovRedRzARdlAGPADnM_Q?authuser=0&hl=en&rclk=1,5.2090356,97.1236917
Pantai Leuge,Aceh,4.2,sangat bagus,https://www.google.com/maps/place/Pantai+Leuge/data=!4m7!3m6!1s0x3037f1b5e3cfb3e1:0x1691db610bb236c8!8m2!3d4.8014311!4d97.9362977!16s%2Fg%2F11c5s5kys2!19sChIJ4bPP47XxNzARyDayC2HbkRY?authuser=0&hl=en&rclk=1,4.8014311,97.9362977
Pantai Wisata Kuala Radja,Aceh,4.6,sangat bagus,https://www.google.com/maps/place/Pantai+Wisata+Kuala+Radja/data=!4m7!3m6!1s0x3047433e5b76fe6b:0x500f8e7ae8e14fd0!8m2!3d5.2479284!4d96.7284031!16s%2Fg%2F11gjt_mcw1!19sChIJa_52Wz5DRzAR0E_h6HqOD1A?authuser=0&hl=en&rclk=1,5.2479284,96.7284031
Pantai Ujong Batee,Aceh,4.2,sangat bagus,https://www.google.com/maps/place/Pantai+Ujong+Batee/data=!4m7!3m6!1s0x30404a437a440af3:0x5829939eedd35c8f!8m2!3d5.6499521!4d95.4195857!16s%2Fg%2F11f2lgksly!19sChIJ8wpEekNKQDARj1zT7Z6TKVg?authuser=0&hl=en&rclk=1,5.6499521,95.4195857
Pantai Peudawa,Aceh,4.1,sangat bagus,https://www.google.com/maps/place/Pantai+Peudawa/data=!4m7!3m6!1s0x3037f8cc50c5ef0f:0xc3b8f86e84472e86!8m2!3d4.9277273!4d97.8144708!16s%2Fg%2F11f1y6d7jv!19sChIJD-_FUMz4NzARhi5HhG74uMM?authuser=0&hl=en&rclk=1,4.9277273,97.8144708
Pantai Lhok Bubon,Aceh,4.3,sangat bagus,https://www.google.com/maps/place/Pantai+Lhok+Bubon/data=!4m7!3m6!1s0x303ee86258f27eb3:0x19ec9888d363ca1b!8m2!3d4.1971822!4d96.0273525!16s%2Fg%2F11cs23f3zt!19sChIJs37yWGLoPjARG8pj04iY7Bk?authuser=0&hl=en&rclk=1,4.1971822,96.0273525
